Name,Emitter,AttachToBone,LockTransformation,OnTop,BoundsCheck,ParticleSizeForBoundsCheck,DepthBias
String,String,String,boolean,boolean,boolean,int,int
autumn_Celebrate,hero_autumn_burst_3D,spine_mid_s,TRUE,FALSE,TRUE,1800,0
autumn_Walk,hero_autumn_walk,back_item_03_s,TRUE,FALSE,TRUE,600,0
champ_sword,hero_champion_sword,R_gunbone_01_s,TRUE,FALSE,TRUE,500,45
,hero_champion_sword_02,R_gunbone_01_s,FALSE,FALSE,TRUE,500,46
,hero_champion_sword_spark,R_gunbone_01_s,FALSE,FALSE,TRUE,1200,46
,hero_champion_sword_glow,R_gunbone_01_s,TRUE,FALSE,TRUE,450,47
champ_sword_02,hero_champion_sword_smoke,R_gunbone_01_s,TRUE,FALSE,TRUE,1000,11
,hero_champion_sword_glow_faint,R_gunbone_01_s,TRUE,FALSE,FALSE,0,10
champ_sword_menu,hero_champion_sword,R_gunbone_01_s,TRUE,FALSE,FALSE,500,33
,hero_champion_sword_02,R_gunbone_01_s,FALSE,FALSE,TRUE,500,34
,hero_champion_sword_spark,R_gunbone_01_s,FALSE,FALSE,TRUE,900,34
,hero_champion_sword_glow,R_gunbone_01_s,TRUE,FALSE,TRUE,450,35
clockwork_battery,clockwork_battery_fx,L_gunbone_05_s,TRUE,FALSE,TRUE,200,0
clockwork_glow,clockwork_glow,L_gunbone_01_s,TRUE,FALSE,TRUE,200,0
clockwork_intensify,clockwork_electricity_burst,L_gunbone_01_s,TRUE,TRUE,TRUE,2000,0
clockwork_intensify2,clockwork_electricity_burst,L_gunbone_01_s,TRUE,TRUE,TRUE,2000,0
electrowl_active,electro_owl_glow,,TRUE,TRUE,TRUE,1000,0
,electro_owl_circle,,TRUE,TRUE,TRUE,0,0
electrowl_inactive,electro_owl_glow,,TRUE,FALSE,TRUE,1000,0
,electro_owl_circle,,TRUE,FALSE,TRUE,0,0
electrowl_stunned,electro_owl_glow_stunned,,TRUE,FALSE,TRUE,1000,0
empty,empty,spine_mid_s,TRUE,FALSE,TRUE,200,0
hero_cny_king_tulips,hero_cny_tulips,L_toe_s,FALSE,FALSE,TRUE,600,-50
ice_Celebrate,hero_ice_burst,spine_mid_s,TRUE,FALSE,TRUE,2000,0
,hero_ice_snow_spiral,,TRUE,FALSE,TRUE,0,0
ice_mist,hero_ice_mist,spine_mid_s,TRUE,FALSE,TRUE,900,0
jolly_sword,hero_jolly_sword,L_gunbone_01_s,TRUE,FALSE,TRUE,300,10
jungle_warden_staff,hero_jungle_warden_glow2,particle_jnt,FALSE,FALSE,TRUE,0,0
party_bk_purple,party_bk_notes,B_effect_jnt,TRUE,TRUE,TRUE,0,0
pekka_sword,hero_pekka_sword,L_gunbone_01_s,TRUE,FALSE,TRUE,300,18
pirate_king_sword_sparks,hero_pirateking_sword,R_wrist_s,TRUE,FALSE,TRUE,100,45
pirate_king_sword_sparks_cheer,hero_pirateking_sword_extended,R_wrist_s,TRUE,FALSE,TRUE,100,45
pirate_warden_puff,hero_pirate_GW_puff,,FALSE,FALSE,TRUE,650,0
pirate_warden_puff2,hero_pirate_GW_puff2,,FALSE,FALSE,TRUE,650,0
skeleton_Glow,test2,spine_mid_s,TRUE,FALSE,TRUE,200,0
test,test,L_gunbone_01_s,TRUE,FALSE,TRUE,200,0
,test2,L_gunbone_01_s,TRUE,FALSE,TRUE,200,0
test_sword,hero_pekka_sword,R_gunbone_01_s,TRUE,FALSE,TRUE,300,0
unicorn_active,unicorn_glow_big,fx_jnt,TRUE,TRUE,TRUE,500,0
,unicorn_sparks,fx_jnt,TRUE,TRUE,TRUE,0,0
unicorn_active_menu,unicorn_glow_big_menu,fx_jnt,TRUE,TRUE,TRUE,500,0
,unicorn_sparks_menu,fx_jnt,TRUE,TRUE,TRUE,0,0
unicorn_inactive,unicorn_glow_faint,fx_jnt,TRUE,TRUE,TRUE,500,0
winter_warden_staff,hero_winter_warden_fire,particle_jnt,TRUE,FALSE,TRUE,500,1
,hero_winter_warden_fire_02,particle_jnt,FALSE,FALSE,TRUE,500,1
,hero_winter_warden_spark,particle_jnt,FALSE,FALSE,TRUE,1200,1
,hero_winter_warden_glow,particle_jnt,TRUE,FALSE,TRUE,450,1
